size
26
26
26
26
51
51
51
51
54
54
54
54
54
76
76
76
76
76
76
76
76
76
42
42
42
42
29
29
29
81
81
81
81
81
81
81
102
102
102
102
102
102
102
102
102
29
29
29
29
128
128
128
128
128
128
128
128
26
26
26
88
88
88
88
88
88
88
88
88
168
168
168
168
168
168
168
168
168
145
145
145
145
145
145
145
54
54
54
54
54
34
34
34
34
46
46
46
46
98
98
98
98
98
98
98
98
98
115
115
115
115
115
42
42
42
42
42
42
56
56
56
56
56
56
30
30
30
70
70
70
70
70
70
70
70
70
64
64
64
64
64
64
32
32
32
32
53
53
53
53
