benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
KeepRowWithMaxAge_1,ok,3.0,0.72,1.0,1.0,24.0,1.0,1.0,3.0,,
KeepRowWithMaxAge_2,ok,3.0,0.64,1.0,1.0,13.0,1.0,1.0,7.0,,
KeepRowWithMaxAge_3,ok,3.0,1.63,2.0,1.0,19.0,2.0,1.0,5.0,,
KeepRowWithMaxAge_4,ok,3.0,4.71,2.0,2.0,25.0,3.0,1.0,10.0,,
KeepRowWithMaxAge_5,ok,3.0,6.16,2.0,2.0,27.0,3.0,1.0,12.0,,
KeepRowWithMaxAge_6,ok,3.0,2.73,2.0,1.0,27.0,2.0,1.0,6.0,,
KeepRowWithMaxAge_7,ok,3.0,6.58,2.0,2.0,31.0,3.0,1.0,12.0,,
KeepRowWithMaxAge_8,ok,3.0,8.81,2.0,3.0,31.0,3.0,1.0,18.0,,
KeepRowWithMaxAge_9,ok,3.0,35.17,2.0,4.0,45.0,4.0,1.0,32.0,,
KeepRowWithMaxQuality_1,ok,3.0,0.75,1.0,1.0,16.0,1.0,1.0,3.0,,
KeepRowWithMaxQuality_2,ok,3.0,0.73,1.0,1.0,13.0,1.0,1.0,3.0,,
KeepRowWithMaxQuality_3,ok,3.0,2.89,2.0,2.0,24.0,3.0,2.0,10.0,,
KeepRowWithMaxQuality_4,ok,3.0,2.73,2.0,2.0,24.0,3.0,2.0,13.0,,
KeepRowWithMaxQuality_5,ok,3.0,13.47,2.0,3.0,46.0,7.0,4.0,30.0,,
KeepRowWithMaxQuality_6,ok,3.0,10.02,2.0,3.0,35.0,5.0,3.0,25.0,,
KeepRowWithMaxQuality_7,ok,3.0,4.13,2.0,2.0,35.0,5.0,3.0,13.0,,
KeepRowWithMaxQuality_8,ok,3.0,77.17,2.0,4.0,57.0,9.0,5.0,172.0,,
KeepRowWithMaxQuality_9,ok,3.0,73.66,2.0,4.0,68.0,13.0,10.0,59.0,,
MinPooling_1,ok,2.0,21.5,4.0,6.0,10.0,6.0,0.0,62.0,,
MinPooling_2,ok,2.0,21.31,4.0,6.0,10.0,6.0,0.0,57.0,,
MinPooling_3,ok,2.0,24.6,4.0,8.0,30.0,8.0,0.0,45.0,,
