benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
KeepRowWithMaxQuality_7,timeout,,,,,,,,,,
KeepRowWithMaxQuality_8,timeout,,,,,,,,,,
KeepRowWithMaxQuality_9,timeout,,,,,,,,,,
MinPooling_1,timeout,,,,,,,,,,
MinPooling_2,timeout,,,,,,,,,,
MinPooling_3,timeout,,,,,,,,,,
MinPooling_4,timeout,,,,,,,,,,
MinPooling_5,timeout,,,,,,,,,,
MinPooling_6,timeout,,,,,,,,,,
MinPooling_7,timeout,,,,,,,,,,
MyAvg_1,ok,3.0,264.77,2.0,4.0,46.0,5.0,1.0,331.0,,
MyAvg_2,ok,3.0,140.52,2.0,4.0,53.0,5.0,1.0,167.0,,
MyAvg_3,timeout,,,,,,,,,,
MyAvg_4,timeout,,,,,,,,,,
MyAvg_5,ok,3.0,60.51,1.0,4.0,53.0,5.0,1.0,70.0,,
PointAttributionScalaUdaf_1,ok,2.0,50.75,3.0,2.0,12.0,2.0,0.0,180.0,,
PointAttributionScalaUdaf_2,timeout,,,,,,,,,,
PointAttributionScalaUdaf_3,ok,2.0,90.16,3.0,2.0,22.0,2.0,0.0,179.0,,
PointAttributionScalaUdaf_4,timeout,,,,,,,,,,
PreprocCSVTable_1,ok,2.0,2.9,2.0,3.0,22.0,3.0,0.0,6.0,,
PreprocCSVTable_2,ok,3.0,1.11,2.0,2.0,20.0,3.0,1.0,3.0,,
PreprocCSVTable_3,ok,1.0,0.78,2.0,0.0,24.0,2.0,2.0,2.0,,
PreprocCSVTable_4,ok,2.0,1.37,2.0,2.0,17.0,2.0,0.0,3.0,,
ReturnPriceAggregator_1,timeout,,,,,,,,,,
ReturnPriceAggregator_2,timeout,,,,,,,,,,
ReturnPriceAggregator_3,timeout,,,,,,,,,,
ReturnPriceAggregator_4,timeout,,,,,,,,,,
ReturnPriceAggregator_5,timeout,,,,,,,,,,
ReturnPriceAggregator_6,timeout,,,,,,,,,,
ReturnPriceAggregator_7,timeout,,,,,,,,,,
ReturnPriceAggregator_8,timeout,,,,,,,,,,
ReturnPriceAggregator_9,timeout,,,,,,,,,,
RoaringBitmapUDAF_1,ok,3.0,7.18,1.0,3.0,22.0,3.0,3.0,19.0,,
RoaringBitmapUDAF_2,ok,3.0,0.98,1.0,1.0,30.0,3.0,3.0,2.0,,
RoaringBitmapUDAF_3,ok,3.0,8.32,1.0,3.0,30.0,4.0,4.0,18.0,,
RoaringBitmapUDAF_4,ok,3.0,2.63,1.0,2.0,28.0,3.0,3.0,6.0,,
RoaringBitmapUDAF_5,ok,3.0,1.11,1.0,1.0,26.0,3.0,2.0,3.0,,
SnapshotAggregator_1,timeout,,,,,,,,,,
SnapshotAggregator_2,timeout,,,,,,,,,,
SnapshotAggregator_3,ok,3.0,150.8,3.0,3.0,27.0,4.0,2.0,228.0,,
SnapshotAggregator_4,ok,3.0,355.99,3.0,3.0,29.0,5.0,3.0,454.0,,
SnapshotAggregator_5,ok,3.0,201.04,3.0,3.0,53.0,4.0,2.0,200.0,,
SnapshotAggregator_6,timeout,,,,,,,,,,
SparkDataFrameUDFApp_1,ok,2.0,96.96,2.0,2.0,13.0,2.0,0.0,266.0,,
SparkDataFrameUDFApp_2,timeout,,,,,,,,,,
SparkDataFrameUDFApp_3,ok,2.0,433.42,3.0,3.0,18.0,3.0,0.0,719.0,,
SparkDataFrameUDFApp_4,timeout,,,,,,,,,,
SparkDataFrameUDFApp_5,ok,2.0,306.88,5.0,4.0,23.0,4.0,0.0,647.0,,
SparkDataFrameUDFApp_6,ok,2.0,519.82,3.0,2.0,28.0,3.0,1.0,708.0,,
TPCHUDAF_1,ok,2.0,1.9,1.0,3.0,22.0,4.0,1.0,4.0,,
